invoice_id,vendor_id,vendor_name,vendor_category,date_issued,date_due,payment_terms,service_type,amount_subtotal,tax_rate,tax_amount,amount_total,status,payment_date,invoice_currency,po_number
INV-000001,V039,Logistics Provider 39,Warehousing,2024-01-01 00:00:00.000000000,2024-01-31 00:00:00.000000000,NET30,Customs Clearance,39527.52,0.0,0.0,39527.52,Pending,,USD,PO-3142
INV-000002,V029,Logistics Provider 29,Customs Broker,2024-01-01 14:17:39.459459459,2024-01-31 14:17:39.459459459,NET30,Last Mile Delivery,29154.78,0.1,2915.48,32070.26,Paid,2024-01-30 14:17:39.459459459,USD,PO-8956
INV-000003,V015,Logistics Provider 15,Last Mile Delivery,2024-01-02 04:35:18.918918918,2024-02-01 04:35:18.918918918,NET30,Cross-Border,28762.19,0.0,0.0,28762.19,Approved,,USD,PO-5653
INV-000004,V043,Logistics Provider 43,Transportation,2024-01-02 18:52:58.378378378,2024-02-16 18:52:58.378378378,NET45,Cross-Border,20869.450753421967,0.0,0.0,20869.45,Paid,2024-02-16 18:52:58.378378378,USD,PO-7411
INV-000004,V043,Logistics Provider 43,Transportation,2024-01-02 18:52:58.378378378,2024-02-16 18:52:58.378378378,NET45,Cross-Border,20161.1,0.0,0.0,20161.1,Paid,2024-02-16 18:52:58.378378378,USD,PO-7411
INV-000005,V008,Logistics Provider 8,Customs Broker,2024-01-03 09:10:37.837837837,2024-02-02 09:10:37.837837837,NET30,Air Freight,25556.5,0.05,1277.82,26834.32,Paid,2024-02-02 09:10:37.837837837,USD,PO-8878
INV-000006,V021,Logistics Provider 21,Customs Broker,2024-01-03 23:28:17.297297297,2024-02-17 23:28:17.297297297,NET45,Warehousing,20461.76,0.0,0.0,20461.76,Approved,,USD,PO-4888
INV-000007,V039,Logistics Provider 39,Warehousing,2024-01-04 13:45:56.756756756,2024-02-18 13:45:56.756756756,NET45,Air Freight,27446.9,0.1,2744.69,30191.59,Paid,2024-01-05 13:45:56.756756756,USD,PO-4872
INV-000008,V019,Logistics Provider 19,Freight Forwarder,2024-01-05 04:03:36.216216216,2024-03-05 04:03:36.216216216,NET60,Last Mile Delivery,31769.55,0.05,1588.48,33358.03,Paid,2024-02-26 04:03:36.216216216,USD,PO-1559
INV-000009,V023,Logistics Provider 23,Warehousing,2024-01-05 18:21:15.675675675,2024-04-04 18:21:15.675675675,NET90,Customs Clearance,34040.89,0.1,3404.09,37444.98,Pending,,USD,PO-5245
INV-000010,V011,Logistics Provider 11,Freight Forwarder,2024-01-06 08:38:55.135135135,2024-04-05 08:38:55.135135135,NET90,Customs Clearance,27091.58,0.05,1354.58,28446.16,Approved,,USD,PO-5423
INV-000011,V011,Logistics Provider 11,Freight Forwarder,2024-01-06 22:56:34.594594594,2024-02-20 22:56:34.594594594,NET45,Warehousing,36349.68,0.0,0.0,36349.68,Paid,2024-02-05 22:56:34.594594594,USD,PO-2312
INV-000012,V024,Logistics Provider 24,Freight Forwarder,2024-01-07 13:14:14.054054054,2024-03-07 13:14:14.054054054,NET60,Cross-Border,7922.62,0.05,396.13,8318.75,Approved,,USD,PO-6360
INV-000013,V036,Logistics Provider 36,Transportation,2024-01-08 03:31:53.513513513,2024-02-22 03:31:53.513513513,NET45,Air Freight,11387.14,0.05,569.36,11956.5,Paid,2024-02-22 03:31:53.513513513,USD,PO-8384
INV-000014,V040,Logistics Provider 40,Freight Forwarder,2024-01-08 17:49:32.972972973,2024-02-22 17:49:32.972972973,NET45,Express Delivery,41118.02,0.0,0.0,41118.02,Approved,,USD,PO-1936
INV-000015,V024,Logistics Provider 24,Freight Forwarder,2024-01-09 08:07:12.432432432,2024-02-23 08:07:12.432432432,NET45,Customs Clearance,16803.87,0.0,0.0,16803.87,Approved,,USD,PO-5537
INV-000016,V003,Logistics Provider 3,Warehousing,2024-01-09 22:24:51.891891891,2024-03-09 22:24:51.891891891,NET60,Last Mile Delivery,2121.8,0.1,212.18,2333.98,Pending,,USD,PO-9361
INV-000017,V022,Logistics Provider 22,Customs Broker,2024-01-10 12:42:31.351351351,2024-04-09 12:42:31.351351351,NET90,Sea Freight,8535.77,0.1,853.58,9389.35,Approved,,USD,PO-8729
INV-000018,V002,Logistics Provider 2,Transportation,2024-01-11 03:00:10.810810810,2024-03-11 03:00:10.810810810,NET60,Road Transport,11957.11,0.0,0.0,11957.11,Paid,2024-03-06 03:00:10.810810810,USD,PO-2938
INV-000019,V024,Logistics Provider 24,Freight Forwarder,2024-01-11 17:17:50.270270270,2024-02-10 17:17:50.270270270,NET30,Road Transport,47908.82,0.0,0.0,47908.82,Approved,,USD,PO-7116
INV-000020,V044,Logistics Provider 44,Last Mile Delivery,2024-01-12 07:35:29.729729729,2024-03-12 07:35:29.729729729,NET60,Road Transport,29079.03,0.0,0.0,29079.03,Paid,2024-03-10 07:35:29.729729729,USD,PO-4600
INV-000021,V030,Logistics Provider 30,Warehousing,2024-01-12 21:53:09.189189189,2024-03-12 21:53:09.189189189,NET60,Express Delivery,46703.81,0.05,2335.19,49039.0,Paid,2024-02-28 21:53:09.189189189,USD,PO-6363
INV-000022,V038,Logistics Provider 38,Last Mile Delivery,2024-01-13 12:10:48.648648648,2024-03-13 12:10:48.648648648,NET60,Cross-Border,29183.0,0.05,1459.15,30642.15,Paid,2024-03-05 12:10:48.648648648,USD,PO-3300
INV-000023,V002,Logistics Provider 2,Transportation,2024-01-14 02:28:28.108108108,2024-03-14 02:28:28.108108108,NET60,Air Freight,24488.37,0.05,1224.42,25712.79,Paid,2024-03-02 02:28:28.108108108,USD,PO-2872
INV-000024,V021,Logistics Provider 21,Customs Broker,2024-01-14 16:46:07.567567567,2024-04-13 16:46:07.567567567,NET90,Warehousing,16372.66,0.0,0.0,16372.66,Approved,,USD,PO-5898
INV-000025,V033,Logistics Provider 33,Customs Broker,2024-01-15 07:03:47.027027027,2024-02-14 07:03:47.027027027,NET30,Express Delivery,30712.18,0.1,3071.22,33783.4,Approved,,USD,PO-2156
INV-000026,V012,Logistics Provider 12,Last Mile Delivery,2024-01-15 21:21:26.486486486,2024-04-14 21:21:26.486486486,NET90,Express Delivery,7820.7,0.0,0.0,7820.7,Paid,2024-04-14 21:21:26.486486486,USD,PO-6219
INV-000027,V022,Logistics Provider 22,Customs Broker,2024-01-16 11:39:05.945945946,2024-04-15 11:39:05.945945946,NET90,Customs Clearance,45014.82,0.05,2250.74,47265.56,Approved,,USD,PO-8851
INV-000028,V044,Logistics Provider 44,Last Mile Delivery,2024-01-17 01:56:45.405405405,2024-03-17 01:56:45.405405405,NET60,Sea Freight,41637.29,0.05,2081.86,43719.15,Paid,2024-03-03 01:56:45.405405405,USD,PO-2838
INV-000029,V025,Logistics Provider 25,Last Mile Delivery,2024-01-17 16:14:24.864864865,2024-03-02 16:14:24.864864865,NET45,Express Delivery,16559.04,0.0,0.0,16559.04,Pending,,USD,PO-3124
INV-000030,V049,Logistics Provider 49,Transportation,2024-01-18 06:32:04.324324324,2024-03-03 06:32:04.324324324,NET45,Last Mile Delivery,47687.08,0.0,0.0,47687.08,Paid,2024-02-28 06:32:04.324324324,USD,PO-1618
INV-000031,V027,Logistics Provider 27,Transportation,2024-01-18 20:49:43.783783783,2024-04-17 20:49:43.783783783,NET90,Sea Freight,41434.84,0.05,2071.74,43506.58,Paid,2024-04-06 20:49:43.783783783,USD,PO-6746
